counter,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,timestamp,key_press
42,-232.95001220703125,122.55000305175781,197.95599365234375,-137.85000610351562,-123.45000457763672,372.19598388671875,-2.5500001907348633,-30.150001525878906,349.9320068359375,68.55000305175781,-49.500003814697266,392.0400085449219,-260.5500183105469,102.60000610351562,314.3580017089844,-81.1500015258789,232.8000030517578,376.0679931640625,13.800000190734863,330.45001220703125,364.6940002441406,51.45000076293945,372.0,402.2040100097656,1756211923.6050248,none
43,-226.65000915527344,123.00000762939453,199.64999389648438,-140.40000915527344,-125.70000457763672,377.0360107421875,3.9000000953674316,-25.80000114440918,341.2200012207031,72.30000305175781,-48.0,390.5880126953125,-251.10000610351562,100.50000762939453,316.052001953125,-77.25,237.15000915527344,370.260009765625,20.55000114440918,331.6500244140625,367.8399963378906,55.500003814697266,371.8500061035156,396.8800048828125,1756211923.6100237,none
44,-238.8000030517578,121.05000305175781,198.68199157714844,-142.35000610351562,-118.50000762939453,370.7439880371094,-1.8000000715255737,-21.600000381469727,342.42999267578125,66.75,-54.000003814697266,389.6199951171875,-264.3000183105469,100.95000457763672,308.54998779296875,-76.80000305175781,239.5500030517578,363.0,13.800000190734863,325.6500244140625,372.43798828125,47.55000305175781,371.5500183105469,395.4280090332031,1756211923.6135437,none
45,-232.95001220703125,118.05000305175781,189.0019989013672,-139.65000915527344,-112.50000762939453,369.2919921875,1.8000000715255737,-23.700000762939453,344.1239929199219,66.30000305175781,-49.650001525878906,381.1499938964844,-252.90000915527344,100.05000305175781,306.1300048828125,-71.70000457763672,239.25001525878906,380.1820068359375,10.950000762939453,331.20001220703125,370.260009765625,54.150001525878906,380.5500183105469,394.4599914550781,1756211923.617554,none
46,-229.65000915527344,126.45000457763672,201.343994140625,-136.0500030517578,-114.9000015258789,368.3240051269531,0.6000000238418579,-23.100000381469727,344.6080017089844,67.5,-49.20000076293945,385.74798583984375,-264.0,99.1500015258789,321.3760070800781,-69.0,237.3000030517578,372.19598388671875,16.350000381469727,328.20001220703125,366.6300048828125,55.80000305175781,370.3500061035156,411.3999938964844,1756211923.6215515,none
47,-230.10000610351562,127.95000457763672,199.89199829101562,-139.20001220703125,-115.20000457763672,370.9859924316406,-0.30000001192092896,-27.30000114440918,348.72198486328125,62.85000228881836,-51.60000228881836,392.2820129394531,-256.3500061035156,97.6500015258789,308.0660095214844,-72.1500015258789,237.75001525878906,365.90399169921875,23.700000762939453,327.45001220703125,377.0360107421875,56.85000228881836,374.4000244140625,406.802001953125,1756211923.62607,none
48,-228.3000030517578,115.80000305175781,196.9879913330078,-142.8000030517578,-112.20000457763672,373.16400146484375,-1.2000000476837158,-27.450000762939453,350.4159851074219,66.0,-51.30000305175781,386.4739990234375,-257.1000061035156,100.05000305175781,310.4859924316406,-71.55000305175781,236.40000915527344,368.0820007324219,17.55000114440918,321.1500244140625,370.260009765625,52.500003814697266,372.45001220703125,399.5419921875,1756211923.6300683,none
49,-232.35000610351562,120.60000610351562,201.343994140625,-142.0500030517578,-113.4000015258789,370.7439880371094,0.6000000238418579,-29.400001525878906,345.57598876953125,63.45000076293945,-50.55000305175781,389.135986328125,-260.8500061035156,93.45000457763672,310.4859924316406,-76.35000610351562,231.45001220703125,366.6300048828125,18.30000114440918,321.45001220703125,356.7080078125,51.30000305175781,366.9000244140625,396.39599609375,1756211923.6335888,none
50,-230.85000610351562,123.1500015258789,198.197998046875,-133.95001220703125,-117.00000762939453,378.97198486328125,2.8500001430511475,-23.25,341.94598388671875,67.6500015258789,-48.45000076293945,388.6520080566406,-262.20001220703125,99.75000762939453,310.2439880371094,-66.9000015258789,235.8000030517578,369.7760009765625,22.80000114440918,331.3500061035156,364.4519958496094,52.05000305175781,364.3500061035156,397.8479919433594,1756211923.6375952,none
51,-234.15000915527344,122.85000610351562,199.89199829101562,-133.0500030517578,-120.9000015258789,378.2460021972656,-2.8500001430511475,-23.100000381469727,347.5119934082031,67.6500015258789,-49.80000305175781,384.7799987792969,-252.75001525878906,101.10000610351562,308.0660095214844,-74.55000305175781,243.75001525878906,373.64801025390625,17.25,332.4000244140625,365.41998291015625,56.10000228881836,367.6500244140625,397.12200927734375,1756211923.6415935,none
52,-235.20001220703125,117.9000015258789,194.3260040283203,-137.25,-117.60000610351562,372.9219970703125,4.350000381469727,-24.600000381469727,339.5260009765625,68.4000015258789,-48.150001525878906,395.1860046386719,-259.20001220703125,96.60000610351562,313.8739929199219,-71.55000305175781,235.95001220703125,368.0820007324219,11.700000762939453,331.0500183105469,365.1780090332031,57.150001525878906,370.5,401.9620056152344,1756211923.6460419,none
53,-235.95001220703125,116.4000015258789,197.95599365234375,-137.40000915527344,-120.75000762939453,367.5979919433594,-0.9000000357627869,-31.650001525878906,345.0920104980469,64.35000610351562,-49.80000305175781,391.3139953613281,-252.75001525878906,98.25000762939453,312.4219970703125,-64.20000457763672,236.70001220703125,373.406005859375,11.700000762939453,325.0500183105469,361.7900085449219,57.000003814697266,365.8500061035156,396.8800048828125,1756211923.6490424,none
